Date,Home_Team,Visitor_Team,Home_Score,Visitor_Score,Winner
1/4/2559,Iraq,Thailand,2,2,Draw
1/5/2559,Thailand,South Korea,0,1,South Korea
1/6/2559,Thailand,Syria,2,2,Draw
1/7/2559,Thailand,Jordan,2,0,Thailand
1/8/2559,Karta,Thailand,3,0,Karta
1/9/2559,Saudi Arabia,Thailand,1,0,Saudi Arabia
1/10/2559,Thailand,Japan,0,2,Japan
2/4/2559,United Arab Emirates,Thailand,3,1,United Arab Emirates
3/4/2559,Iraq,Thailand,4,0,Iraq
4/4/2559,Thailand,Indonesia,4,2,Thailand
5/4/2559,Thailand,Singapore,1,0,Thailand
6/4/2559,Phillipines,Thailand,0,1,Thailand
7/4/2559,Myanmar,Thailand,0,2,Thailand
8/4/2559,Thailand,Myanmar,4,0,Thailand
9/4/2559,Indonesia,Thailand,2,1,Indonesia
10/4/2559,Thailand,Indonesia,2,0,Thailand
10/4/2560,Thailand,Saudi Arabia,0,3,Saudi Arabia
11/4/2560,Japan,Thailand,4,0,Japan
12/4/2560,Uzbekistan,Thailand,2,0,Uzbekistan
12/5/2560,Thailand,North Korea,3,0,Thailand
12/6/2560,Thailand,Iraq,1,2,Iraq
12/7/2560,Australia,Thailand,2,1,Australia
12/8/2560,Myanmar,Thailand,1,3,Thailand
12/9/2560,Thailand,Kenya,1,0,Thailand
12/10/2561,Thailand,Slovakia,2,3,Slovakia
12/11/2561,Thailand,China,0,2,China
12/12/2561,Hongkong,Thailand,0,1,Thailand
12/13/2561,Thailand,Trinidad and Tobago,1,0,Thailand
12/14/2561,Timor Leste,Thailand,0,7,Thailand
12/15/2561,Thailand,Indonesia,4,2,Thailand
12/16/2561,Phillipines,Thailand,1,1,Draw
12/17/2561,Thailand,Singapore,3,0,Thailand
12/18/2561,Malaysia,Thailand,0,0,Draw
12/19/2561,Thailand,Malaysia,2,2,Draw
1/1/2562,Thailand,India,1,4,India
1/1/2562,Bahrain,Thailand,0,1,Thailand
1/2/2562,United Arab Emirates,Thailand,1,1,Draw
1/3/2562,Thailand,China,1,2,China
1/4/2562,China,Thailand,0,1,Thailand
1/5/2562,Thailand,Uruguay,0,4,Uruguay
2/5/2562,Thailand,Vietnam,0,1,Vietnam
3/5/2562,Thailand,India,0,1,India
4/5/2562,Thailand,Vietnam,0,0,Draw
5/5/2562,Indonesia,Thailand,0,3,Thailand
6/5/2562,Thailand,United Arab Emirates,2,1,Thailand
7/5/2562,Malaysia,Thailand,2,1,Malaysia
8/5/2562,Vietnam,Thailand,0,0,Draw
